ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
AZZ,AZZ Inc.,XNYS,2025-10-20,99.83999633789062,1,2,-0.0006711845751898026,2.0970104887023933,99.84066645304362,106.07249946594239,95.5233999633789,63.95234985351563,604158,1434544,0.42114985667919563,-5.88,4.52,56.12
GABC,"German American Bancorp, Inc.",XNAS,2025-10-20,38.779998779296875,1,2,-0.009026712051404812,0.004297151382072222,38.78349965413411,39.52049961090088,39.626699905395505,35.95342493057251,162567,653365,0.2488149809065377,-1.87,-2.14,7.86
SBXD,SilverBox Corp IV,XNYS,2025-10-20,10.520000457763672,1,3,-0.07028826911106938,0.42290421546082424,10.527399984995524,10.624350023269653,10.358842010498046,,177127,506009,0.350047133549008,-0.98,1.56,
GGG,Graco Inc,XNYS,2025-10-20,83.86000061035156,1,2,-0.0901482734628577,-0.23257238611514613,83.93566716512045,84.77800064086914,84.73380050659179,77.76090015411377,1274345,3339542,0.3815927453525064,-1.08,-1.03,7.84
LKFN,Lakeland Financial Corp,XNAS,2025-10-20,61.29999923706055,1,2,-0.09561300588462825,0.04728558532790351,61.35866610209147,63.54799938201904,63.99249946594238,65.3012250137329,199022,695444,0.2861797642944651,-3.54,-4.21,-6.13
LEGH,Legacy Housing Corporation Common Stock,XNAS,2025-10-20,24.309999465942383,1,2,-0.13624773326789275,-0.960162736551553,24.343166478474934,24.65474977493286,24.75659984588623,22.260924968719483,113968,393223,0.28983045244047273,-1.4,-1.8,9.2
PBA,PEMBINA PIPELINE CORPORATION,XNYS,2025-10-20,37.849998474121094,1,1,-0.14159175492665943,0.037829494859961996,37.90366694132487,38.03700008392334,38.04200012207031,35.647800054550174,1552540,6490204,0.23921281981275164,-0.49,-0.5,6.18
EPR,EPR Properties,XNYS,2025-10-20,54.529998779296875,1,2,-0.1684318311270536,0.7593877274687819,54.62199961344401,56.209499549865725,51.73919960021973,46.19139986038208,1617958,4191175,0.3860392372067499,-2.99,5.39,18.05
FULT,Fulton Financial Corp,XNAS,2025-10-20,17.8799991607666,1,2,-0.19908596704012307,-0.33193652510306976,17.915666739145916,18.486499977111816,18.7328000831604,16.535000009536745,5212933,7599536,0.6859541161460384,-3.28,-4.55,8.13
ISSC,Innovative Solutions & Support,XNAS,2025-10-20,11.470000267028809,1,1,-0.28687913018269,5.891558763719335,11.502999973297118,13.188000011444093,10.23839997291565,8.186128988265992,843167,2458398,0.3429741644762158,-13.03,12.03,40.12
